D : BONjour et bienvenue à cette discussion spontanée (dit en riant) (.) de l’école d’été de  français (dit en riant) ¤<6838> <P1,L1>  
M : vous pouvez vous vider le cœur en toute [1  (RIRE) ¤<9140> <P1,L2>  
D : [  1  oui (en hochant la tête affirmativement) <P1,L3>  
M : en toute con- confidentialité ¤<11491> <P1,L4>  
D : oui <P1,L5>  
V : (RIRE) t’as l’air d’un animateur (dit en riant et en pointant Daniel du doigt) [1  (RIRE) c’est très  drôle ¤<14490> <P1,L6>  
D : [  1  (RIRE) <P1,L7>  
D : alors on va parler de l’école d’été de français [1  aujourd’hui mes amis ¤<17966> <P1,L8>  
J-M : [  1  (il hoche la tête affirmativement) <P1,L9>  
J-M : (RIRE) <p<ok (.) ok>> (dit en riant) ¤<20475> <P1,L10>  
D : {tu;Ø} fais-tu partie du groupe toi↑ ¤<21463> <P1,L11>  
J-M : euh (.) oui ¤<22492> <P1,L12>  
D : super alors euh quelle est sont vos impressions euh depuis le début là de cette aventu:re↑  ¤<28122> <P1,L13>  
J-M : quelles est sont nos impressions (RIRE) ¤<30275> <P1,L14>  
D : non (.) [1  quelles sont vos impressions↑ ¤<31982> <P1,L15>  
M : [1  (RIRE) <P1,L16>  
J-M : [1  oui euh moi moi je trouve que c’est: magnifique ¤<34251> <P1,L17>  
D : [1  {as-tu changé↑;(inaud.)} <P1,L18>  
M : magnifique↑ (en soulevant les sourcils en signe d’étonnement) ¤<35999> <P1,L19>  
J-M : oui (dit en riant et en regardant Michèle) <P1,L20>  
M : c’est tout/ (.) [1  tu veux pas compléter ton idée/ ¤<39583> <P1,L21>  
V : [1  d- rien (en hochant la tête négativement) <P1,L22>  
J-M : (il hoche la tête négativement) <P1,L23>  
M : <p<non/>> ¤<41128> <P1,L24>  
V : [1  rien d’autre (.) en: cinq semaines tout ce que t’as à dire •c’est magnifique° (dit en riant)  ¤<44768> <P1,L25>  
J-M : [1  (il hoche la tête négativement) <P1,L26>  
M : [2  (RIRE) <P1,L27>  
J-M : [2  oui (dit en riant et en hochant la tête affirmativement) (.) c’est ça ¤<46283> <P1,L28>  
V : [2  (inaud.) (en hochant la tête affirmativement) <P2,L1>  
D : [2moi j’aimerais dire que D est gêné présentement\ (en parlant de lui-même) ¤<49482> 
M : bon ben on va se dégêner là (inaud.) ¤<53327> <P2,L3>  
J-M : ouais ok <P2,L4>  
M : il faut du temps là ¤<55343> <P2,L5>  
J-M : ouais <P2,L6>  
M : juste pour euh CLANCHER (en allongeant les bras vers l’avant, comme pour représenter le  départ de quelque chose) sur un sujet hum ¤<58017> <P2,L7>  
V : ben les accommodements raisonnables à l’école d’été je pense que c’est un [1  bon point  ¤<61224> <P2,L8>  
M : [  1  ah/ (en  soulevant les sourcils en signe d’approbation) (.) ok <P2,L9>  
V : comme ça a [1  été TELLEMENT présent dans l’actualité (.) [2  qu’est-ce que vous en pensez/  ¤<64958> <P2,L10>  
J-M : [1  ouais <P2,L11>  
M : [  2mais nous-autres (inaud.)  <P2,L12>  
V : le fait <acc<par exemple>> que on: PERmet aux musul- aux étudiants musulmans de faire  leurs examens PLUS TARD le vendredi (en bougeant une main de gauche à droite, comme pour  représenter deux périodes de temps séparées l’une de l’autre) et que: on débloque une plage  horaire et un local pour EUX à seize heu:res pour qu’ils puissent aller prier euh [1  pendant  l’examen (.) qu’est-ce que vous en pensez↑ ¤<79699> <P2,L13>  
M : [  1  hum (en levant  les sourcils en signe d’étonnement) <P2,L14>  
M : BEN moi je ouf (.) <p<ouin>> je trouve ça un peu un peu BIZARRE là personnellement  parce que entre autres avec Hasmina <P2,L15>  
V : (elle hoche la tête affirmativement) <P2,L16>  
M : elle elle t’sais elle est musulmane c’est une BONNE musulmane là (en mimant des  guillemets autour du mot bonne) [1  <p<entre guillemets\>> ¤<90518> <P2,L17>  
D : [1  (il hoche la tête affirmativement) <P2,L18>  
V : <p<une bonne>> (dit en riant) ¤<91220> <P2,L19>  
M : non mais [1  <all<t’sais>> elle se décrit comme une bonne musulmane là je veux dire elle  respecte ses paRENTS elle respecte t’sais <dim<la plupart des des>> (.) pis elle fait sa prière  sauf que elle elle nous l’a bien dit que genre la priÈre pi:s peu importe les ablutions tout ce qui  va avec (.) euh (.) t’sais pour elle c’est comme (.) dans le Coran son interprétation à elle en tout  cas c- elle ce qu’elle nous disait c’est que <P2,L20>  
V : [1  (RIRE) (.) (elle hoche la tête affirmativement) <P3,L1>  
M : euh c’est marqué que faut pas ça entrave [1  sur tes activités euh (.) normales là dans le fond↓  fait que si t’as pas le temps (.) elle mettons <acc<elle a pas le temps de prier là>> on s’entend-tu  là/ elle est ici euh t- (.) une bonne partie de la journée je veux dire [2  elle fait peut-être ses prières  le matin mais le soir pis l’après-midi euh je veux dire elle s’en va pas pour faire ça là\ fait que  pour elle c’est ben euh FLEXIBLE dans le fond ¤<125417> <P3,L2>  
V : [  1  (elle hoche la tête affirmativement) <P3,L3>  
J-M : [  2  (il hoche la tête  affirmativement) <P3,L4>  
J-M : mais (.) la prière du vendredi je sais que c’est une priè:re qui est comme un peu différente  des [1  autres là ¤<129563> <P3,L5>  
M : [1  ok (en hochant la tête affirmativement) <P3,L6>  
J-M : fait que je sais pas si ça ça l’a un impact mais c’est une prière qui prend plus de temps pis  qui est [1  plus euh (.) plus spéciale ¤<135237> <P3,L7>  
M : [1  (elle hausse les sourcils en signe d’étonnement) <P3,L8>  
M : si ça avait été un autre jour ils auraient-tu eu ça pareil↑ ¤<136794> <P3,L9>  
V : [1  hum je sais pas (en hochant la tête négativement) <P3,L10>  
M : [1  (inaud.) accommodements↑ <P3,L11>  
V : je connais pas tous les détails mais MOI en même temps je trouve que c’est pas SU:per grave  de les lai:sser [1  faire leur examen plus tard étant donné qu’il y a déjà du personnel au bureau  souvent c’est Guylaine euh (.) qui [2  <len<les: (.) surveille>> (en mimant des guillemets autour  du mot surveille) <dim<même si c’est pas une grande [3  surveillance là>> ¤<149828> <P3,L12>  
M : [1  hum hum (en hochant la tête affirmativement) <P3,L13>  
J-M : [2  hum (en hochant la tête affirmativement) <P3,L14>  
M : [2  (elle hoche la tête affirmativement) <P3,L15>  
M : [  3  ok <P3,L16>  
V : c’est juste (.) dans le fond [1  ça change PAS grand-chose ça nous demande pas VRAIMENT  d’efforts assez [2  incroyables donc c’est un accommodement qui est (.) FACILE à faire pis si on  avait des étudiants qui avaient m- d’autres qui d’autres problèmes [3  par exemple on on a eu  tellement de demandes depuis le début ¤<163068> <P3,L17>  
M : [1  (elle hoche la tête affirmativement) <P3,L18>  
M : [2  hum hum (en hochant la tête affirmativement) <P3,L19>  
M : [  3  (elle hoche la tête  affirmativement) <P3,L20>  
D : ben oui <P3,L21>  
V : on leur aurait SÛrement [1  accordé même si c’est pas une demande en: raison d’une religion  ou quoi que ce soit\ fait que <P3,L22>  
M : [1  <p<hum>> (en hochant la tête affirmativement) <P4,L1>  
J-M : ouais <P4,L2>  
V : pour moi vu que c’est quelque chose d’assez léger je trouve pas que c’est [1  problématique (.)  si ça devenait un phénomène majeur par contre euh ¤<173638> <P4,L3>  
M : [  1  ben non c’est  {ça;sûr} <P4,L4>  
J-M : mais (.) ouin c’est un peu ça des fois dans le fond euh (.) si on regarde là t’sais dans les  écoles pis etcetera là (.) il y a des (.) ça crée des problèmes parce que (.) bon les examens sont  déjà été passés t’sais (.) pis il y a des étudiants qui l’ont passé ils savent [1  c’est quoi les questions  d’examen etcetera ¤<188532> <P4,L5>  
M : [  1  ouin c’est ça <P4,L6>  
